Date,Open,High,Low,Close,Adj Close,Volume
2016-05-12,132.789993,133.119995,132.190002,132.880005,119.740997,872500
2016-05-13,133.100006,133.240005,131.479996,131.979996,118.929955,858100
2016-05-16,131.979996,132.759995,131.139999,132.000000,118.947998,810800
2016-05-17,131.979996,132.910004,129.059998,129.429993,116.632126,1428300
2016-05-18,129.470001,129.710007,127.180000,128.139999,115.469673,1323600
2016-05-19,127.930000,130.380005,127.500000,129.979996,117.127739,1272700
2016-05-20,130.119995,130.490005,128.460007,128.830002,116.091446,1023800
2016-05-23,128.990005,129.460007,128.500000,129.050003,116.289703,629600
2016-05-24,129.220001,130.630005,128.860001,130.070007,117.208847,777900
2016-05-25,130.029999,130.550003,129.000000,129.360001,116.569038,655600
2016-05-26,129.440002,130.190002,129.190002,129.539993,116.731239,571000
2016-05-27,129.860001,130.089996,129.289993,129.699997,116.875427,481400
2016-05-31,130.000000,130.110001,127.900002,128.539993,115.830124,1191600
2016-06-01,128.639999,129.979996,128.389999,129.889999,117.046638,942000
2016-06-02,130.039993,130.039993,128.880005,129.830002,116.992569,719900
2016-06-03,129.830002,130.160004,128.940002,129.919998,117.073685,765300
2016-06-06,129.699997,130.089996,128.889999,129.330002,116.542015,825000
2016-06-07,129.580002,129.820007,129.020004,129.360001,116.569038,859200
2016-06-08,129.080002,130.149994,128.710007,130.110001,117.244881,541800
2016-06-09,130.059998,131.020004,129.699997,130.910004,117.965797,492200
2016-06-10,130.419998,131.820007,130.059998,131.770004,118.740776,708800
2016-06-13,131.550003,132.479996,131.089996,131.179993,118.209061,757700
2016-06-14,130.820007,133.000000,130.000000,132.789993,119.659897,1019800
2016-06-15,132.800003,133.050003,131.820007,132.149994,119.083168,681000
2016-06-16,132.000000,133.380005,131.910004,133.110001,119.948242,715000
2016-06-17,132.889999,132.889999,131.130005,132.369995,119.281410,1342700
2016-06-20,132.630005,133.050003,132.130005,132.320007,119.236397,759300
2016-06-21,132.820007,133.869995,132.529999,133.100006,119.939232,830300
2016-06-22,133.029999,133.889999,132.919998,133.850006,120.615097,710100
2016-06-23,134.470001,134.490005,133.639999,134.229996,120.957512,464600
2016-06-24,132.550003,136.490005,132.000000,134.880005,121.543221,2116400
2016-06-27,134.600006,137.619995,134.580002,137.029999,123.480644,2387500
2016-06-28,137.199997,137.199997,135.529999,136.660004,123.147247,1485800
2016-06-29,136.699997,137.429993,134.490005,135.210007,121.840591,1518100
2016-06-30,135.580002,138.410004,134.809998,138.389999,124.706177,1577900
2016-07-01,138.690002,138.860001,136.449997,137.160004,123.597786,945000
2016-07-05,137.639999,140.080002,137.509995,139.240005,125.472122,1297400
2016-07-06,140.210007,140.470001,137.720001,138.210007,124.543968,1269100
2016-07-07,138.000000,138.289993,136.839996,137.520004,123.922188,1144700
2016-07-08,137.419998,138.460007,137.000000,138.369995,124.688141,991700
2016-07-11,138.059998,138.300003,136.559998,137.710007,124.093430,958600
2016-07-12,136.729996,137.139999,135.600006,136.220001,122.750725,911100
2016-07-13,136.570007,137.389999,136.080002,137.059998,123.507668,467800
2016-07-14,136.929993,138.369995,136.559998,136.720001,123.201294,743200
2016-07-15,137.000000,137.679993,136.229996,136.580002,123.075142,880600
2016-07-18,136.759995,137.000000,135.990005,136.119995,122.660629,635900
2016-07-19,136.000000,136.460007,135.509995,136.350006,122.867905,675300
2016-07-20,136.529999,136.899994,135.289993,135.350006,121.966766,545700
2016-07-21,135.139999,135.270004,134.250000,134.639999,121.326981,702800
2016-07-22,134.690002,135.279999,134.500000,135.179993,121.813568,640700
2016-07-25,134.210007,134.539993,133.710007,134.479996,121.904213,484600
2016-07-26,134.380005,134.919998,133.369995,133.889999,121.369377,627300
2016-07-27,133.770004,133.770004,130.350006,131.029999,118.776848,1738100
2016-07-28,131.000000,131.179993,129.539993,130.830002,118.595535,1482700
2016-07-29,130.429993,131.789993,130.059998,131.070007,118.813103,973200
2016-08-01,130.679993,131.699997,130.679993,131.350006,119.066917,887500
2016-08-02,131.240005,132.169998,129.860001,130.300003,118.115112,1355300
2016-08-03,132.289993,132.619995,130.789993,131.589996,119.284477,1444800
2016-08-04,131.610001,133.960007,131.610001,133.910004,121.387505,1066500
2016-08-05,133.800003,133.970001,131.789993,132.220001,119.855553,1125300
2016-08-08,132.220001,132.449997,131.220001,132.160004,119.801163,618100
2016-08-09,132.289993,132.929993,131.740005,132.589996,120.190941,737600
2016-08-10,132.839996,133.850006,132.490005,133.850006,121.333138,618200
2016-08-11,134.320007,134.699997,133.000000,133.199997,120.743904,598300
2016-08-12,133.610001,134.229996,133.100006,133.419998,120.943359,404900
2016-08-15,133.160004,133.410004,132.199997,132.240005,119.873718,477500
2016-08-16,131.919998,132.240005,131.029999,131.080002,118.822159,500000
2016-08-17,131.500000,132.240005,130.160004,131.500000,119.202888,916300
2016-08-18,131.350006,131.800003,130.820007,131.220001,118.949074,657000
2016-08-19,130.880005,131.059998,130.449997,130.800003,118.568352,718600
2016-08-22,130.800003,131.100006,130.289993,130.929993,118.686180,840100
