Date,Open,High,Low,Close,Adj Close,Volume
2020-03-19,40.000000,46.000000,40.000000,45.250000,45.079823,7000
2020-03-20,45.009998,46.009998,45.000000,45.000000,44.830765,3600
2020-03-23,42.000000,42.000000,39.980000,40.000000,39.849567,11900
2020-03-24,40.000000,40.000000,39.000000,40.000000,39.849567,77800
2020-03-25,40.000000,44.799999,38.000000,41.009998,40.855766,7000
2020-03-26,45.000000,47.500000,44.250000,45.000000,44.830765,29100
2020-03-27,45.000000,47.500000,44.990002,45.235001,45.064880,263200
2020-03-30,44.250000,50.000000,44.250000,50.000000,49.811958,118100
2020-03-31,46.500000,50.000000,44.779999,50.000000,49.811958,210300
2020-04-01,45.990002,48.500000,44.000000,46.700001,46.524372,1206100
2020-04-02,45.023998,48.660000,43.200001,44.000000,43.834526,9264200
2020-04-03,43.750000,49.299999,41.799999,47.320000,47.142036,22551600
2020-04-06,47.000000,47.849998,44.700001,45.939999,45.767227,10294200
2020-04-07,45.150002,46.990002,42.930000,44.279999,44.113468,12146500
2020-04-08,42.209999,45.200001,41.259998,44.090000,43.924187,22265800
2020-04-09,44.049999,50.250000,44.000000,49.139999,48.955193,17355600
2020-04-13,48.549999,48.669998,45.720001,46.000000,45.827003,8545100
2020-04-14,45.910000,46.299999,43.970001,45.889999,45.717415,10152100
2020-04-15,44.189999,44.849998,42.799999,44.549999,44.382454,7935500
2020-04-16,44.080002,46.407001,43.549999,45.619999,45.448429,8740200
2020-04-17,47.000000,48.560001,45.919998,46.150002,45.976440,7878100
2020-04-20,45.000000,46.980000,44.900002,45.389999,45.219296,5407500
2020-04-21,44.500000,47.200001,44.500000,45.900002,45.727379,6939700
2020-04-22,47.310001,49.549999,46.000000,47.049999,46.873055,6801900
2020-04-23,47.439999,48.040001,46.480000,47.470001,47.291477,5174800
2020-04-24,48.020000,48.500000,46.310001,47.849998,47.670044,6446900
2020-04-27,48.080002,48.599998,47.610001,48.220001,48.038654,5541100
2020-04-28,49.070000,50.950001,48.650002,49.860001,49.672485,5368200
2020-04-29,50.770000,51.730000,49.709999,51.150002,50.957634,4343900
2020-04-30,50.970001,51.599998,50.500000,50.910000,50.718536,6122300
2020-05-01,50.330002,50.529999,48.310001,49.709999,49.523048,3089700
2020-05-04,48.849998,49.669998,47.509998,49.529999,49.343727,5676600
2020-05-05,49.529999,50.639999,47.959999,48.090000,47.909142,4103600
2020-05-06,48.610001,49.000000,47.889999,48.310001,48.128315,2931800
2020-05-07,49.020000,53.290001,48.990002,51.810001,51.615154,4803200
2020-05-08,52.119999,54.169998,52.110001,52.950001,52.750866,4381800
2020-05-11,52.000000,52.400002,51.060001,51.810001,51.615154,3150600
2020-05-12,52.189999,52.290001,49.689999,49.720001,49.533012,3059800
2020-05-13,49.000000,50.299999,47.884998,48.209999,48.028690,4567000
2020-05-14,47.610001,48.400002,47.230000,48.000000,47.819481,4849900
2020-05-15,47.320000,49.220001,47.200001,48.889999,48.706135,2981400
2020-05-18,50.119999,52.340000,50.119999,52.130001,51.933949,4453700
2020-05-19,51.680000,52.928001,51.055000,52.310001,52.113274,2050300
2020-05-20,52.549999,54.700001,52.474998,53.180000,52.980000,4755100
2020-05-21,52.360001,53.549999,51.869999,52.029999,52.029999,3813100
2020-05-22,52.459999,52.720001,50.919998,51.709999,51.709999,2134300
2020-05-26,53.029999,53.990002,50.700001,50.889999,50.889999,6247000
2020-05-27,51.590000,52.650002,50.770000,52.380001,52.380001,5202300
2020-05-28,52.869999,52.950001,50.930000,50.959999,50.959999,4260700
2020-05-29,50.439999,52.869999,50.180000,52.650002,52.650002,7522700
2020-06-01,52.450001,54.439999,52.110001,54.080002,54.080002,3073300
2020-06-02,54.160000,54.750000,53.290001,54.150002,54.150002,2638100
2020-06-03,55.000000,55.580002,54.549999,55.470001,55.470001,4134500
2020-06-04,55.299999,56.660000,54.689999,55.400002,55.400002,3281300
2020-06-05,57.830002,58.709000,56.000000,58.570000,58.570000,4615100
2020-06-08,58.680000,61.320000,58.360001,61.259998,61.259998,5966500
2020-06-09,60.400002,61.459999,59.240002,60.650002,60.650002,4610200
2020-06-10,60.610001,60.959999,59.020000,59.029999,59.029999,2658300
2020-06-11,56.000000,58.070000,55.705002,56.250000,56.250000,3293900
2020-06-12,57.730000,58.980000,55.099998,56.040001,56.040001,4313000
2020-06-15,54.509998,57.799999,53.830002,57.669998,57.669998,4464300
2020-06-16,59.500000,59.799999,57.375000,57.849998,57.849998,3510300
2020-06-17,58.119999,58.189999,56.459999,56.740002,56.740002,2441500
2020-06-18,56.439999,57.680000,56.240002,57.490002,57.490002,2137500
2020-06-19,58.959999,58.959999,55.950001,57.000000,57.000000,7096100
2020-06-22,56.880001,58.180000,56.639999,57.060001,57.060001,2027000
2020-06-23,57.689999,57.869999,56.590000,56.799999,56.799999,2386900
2020-06-24,56.150002,56.970001,55.250000,55.540001,55.540001,3022000
2020-06-25,55.049999,56.500000,54.759998,56.200001,56.200001,2942900
2020-06-26,56.230000,56.480000,54.442001,55.790001,55.790001,6634300
2020-06-29,55.889999,56.799999,55.330002,56.570000,56.570000,2257300
2020-06-30,55.970001,57.099998,55.509998,56.860001,56.860001,2518100
